continent,year,mean_gdp_pc_ppp_2017,mean_neet_youth_pct,n_countries,gdp_pc_growth_pct
Africa,1990,3645.4722121276595,NA,47,NA
Africa,1991,3650.1663470212766,21.32,47,0.12876616856385414
Africa,1992,3623.536108723404,NA,47,-0.7295623203475099
Africa,1993,3580.2393012765956,NA,47,-1.1948772179356637
Africa,1994,3560.3234727659574,25.14,47,-0.5562708756237877
Africa,1995,3628.677486170213,NA,47,1.9198821097891061
Africa,1996,3754.862900212766,43.35,47,3.477449140175093
Africa,1997,3944.2105721276594,NA,47,5.042731970431302
Africa,1998,4032.169564893617,NA,47,2.230078520338963
Africa,1999,4537.93313625,32.43,48,12.543211866878078
Africa,2000,4552.600956122449,31.08,49,0.3232268839591157
Africa,2001,4624.3950754,26.880000000000003,50,1.576991262126759
Africa,2002,4689.219213400001,30.10333333333333,50,1.4017863297372646
Africa,2003,4812.3460218,28.356666666666666,50,2.625742214144089
Africa,2004,5034.90331,32.8775,50,4.62471499746302
Africa,2005,5267.0414526,22.882857142857144,50,4.61057796559754
Africa,2006,5455.7630358,22.21125,50,3.5830662222496645
Africa,2007,5699.2203012,21.453333333333333,50,4.462387090540143
Africa,2008,5816.3443432,21.313333333333333,50,2.0550888684780055
Africa,2009,5716.1473664000005,23.982857142857142,50,-1.7226795885484703
Africa,2010,5788.3390572,22.214,50,1.262943135867145
Africa,2011,5628.9121374,21.368181818181817,50,-2.7542774917736046
Africa,2012,6059.548368,23.099090909090908,50,7.650434401680162
Africa,2013,5855.276034423077,20.581666666666667,52,-3.371081822791755
Africa,2014,5836.095803846154,21.924705882352942,52,-0.3275717568934966
Africa,2015,5799.174635576923,25.29875,52,-0.6326347186572767
Africa,2016,5783.794511538462,26.324545454545454,52,-0.26521229321335715
Africa,2017,5919.276473076923,29.347894736842104,52,2.3424407846471595
Africa,2018,5980.736619230769,30.992,52,1.0383050434185526
Africa,2019,5953.014297115385,30.073333333333334,52,-0.4635268844015772
Africa,2020,5496.806438461538,26.14,52,-7.663476616794085
Africa,2021,5737.474796153846,26.682727272727274,52,4.3783305886184065
Asia,1990,15750.394718421052,NA,38,NA
Asia,1991,15778.013934210527,NA,38,0.17535570557589697
Asia,1992,16538.03248974359,NA,39,4.8169469155123545
Asia,1993,16572.6599875,NA,40,0.2093809996919882
Asia,1994,16498.51832097561,38.4,41,-0.4473733642053279
Asia,1995,16930.484702325582,NA,43,2.6182131810029707
Asia,1996,17167.36039767442,17.07,43,1.3991075832359368
Asia,1997,17365.84052023256,19.66,43,1.1561481669891904
Asia,1998,17036.619006976744,25.045,43,-1.8957994741011674
Asia,1999,17045.92105116279,18.1,43,0.05460029470776284
Asia,2000,18760.255431111113,25.73,45,10.057153114829065
Asia,2001,18660.160126666666,26.122,45,-0.5335497952679957
Asia,2002,18516.518804347827,30.415,46,-0.7697754003384238
Asia,2003,19220.249791304348,25.565714285714286,46,3.8005577311393868
Asia,2004,20545.800330434784,28.646,46,6.896635337851564
Asia,2005,21040.28604347826,31.322857142857142,46,2.4067483626373454
Asia,2006,21866.385180434783,28.567777777777778,46,3.92627331800266
Asia,2007,22310.50991956522,25.942857142857143,46,2.031084404055128
Asia,2008,22286.9645,24.555,46,-0.10553510273905164
Asia,2009,21613.478954347825,21.186842105263157,46,-3.021880999775328
Asia,2010,22826.59563478261,18.17142857142857,46,5.612778410163122
Asia,2011,24078.22287826087,19.69,46,5.483197159593356
Asia,2012,24655.103876086956,19.85,46,2.395862023301265
Asia,2013,25207.858767391306,19.29695652173913,46,2.2419491480645037
Asia,2014,25245.219439130437,19.07375,46,0.14821041360109088
Asia,2015,24666.710417391303,18.135238095238094,46,-2.2915586974159408
Asia,2016,24860.728341304348,18.31695652173913,46,0.7865577558986203
Asia,2017,25278.87818695652,21.3944,46,1.6819694093895388
Asia,2018,25730.78251521739,19.99086956521739,46,1.7876755642346698
Asia,2019,25819.798641304347,19.405555555555555,46,0.3459518809205031
Asia,2020,23496.974566666664,21.92695652173913,45,-8.99629043164506
Asia,2021,24301.231424999998,22.794347826086955,44,3.422810268834664
Europe,1990,28254.84990357143,18.7,28,NA
Europe,1991,27787.948186206897,14.52,29,-1.6524657499791484
Europe,1992,27158.661256666666,13.360000000000001,30,-2.264603796305442
Europe,1993,27014.390836666666,14.625,30,-0.5312132974322759
Europe,1994,26730.586832258065,14.73,31,-1.050565996932984
Europe,1995,24776.785674358973,14.3,39,-7.309234062685355
Europe,1996,25386.45691794872,12.495000000000001,39,2.4606551132283716
Europe,1997,26952.852253658537,12.41,41,6.170200673424198
Europe,1998,27959.942309756098,12.99,41,3.736487873786576
Europe,1999,28875.07183414634,14.666666666666668,41,3.2730021909627594
Europe,2000,30140.698373170733,16.405,41,4.38311130893092
Europe,2001,30876.115590243902,19.148,41,2.4399475021049666
Europe,2002,31426.318609756097,20.18,41,1.7819696843149657
Europe,2003,32056.056180487805,12.436818181818182,41,2.003854089788959
Europe,2004,33231.22093414634,12.43,41,3.6659679751055663
Europe,2005,34196.055368292684,13.691515151515151,41,2.9033974889407066
Europe,2006,35587.37062439024,12.409411764705883,41,4.068642541114897
Europe,2007,37147.612058536586,12.172285714285715,41,4.384256006474985
Europe,2008,36633.1129047619,11.870833333333334,42,-1.3850127242740262
Europe,2009,34585.92104047619,13.502368421052632,42,-5.588364465798923
Europe,2010,34980.82363333333,13.714054054054055,42,1.1418015798827064
Europe,2011,35233.25028095238,13.808684210526316,42,0.7216143629577232
Europe,2012,35018.77285714286,14.654615384615385,42,-0.6087358449738844
Europe,2013,35167.40708333333,14.673076923076923,42,0.424441561093003
Europe,2014,35697.978488095236,14.35575,42,1.5087020874318346
Europe,2015,36662.76438095238,13.85625,42,2.7026345292322063
Europe,2016,37429.84138095238,12.864878048780488,42,2.092250851652966
Europe,2017,38480.637142857144,12.1725,42,2.807374338592594
Europe,2018,39459.43633333333,11.544871794871794,42,2.543614823326479
Europe,2019,40290.51130952381,11.45076923076923,42,2.1061501466214105
Europe,2020,38502.69433333333,11.79135135135135,42,-4.437315184351798
Europe,2021,40379.22036585366,11.318055555555556,41,4.873752512679985
North America,1990,15061.950654166667,NA,24,NA
North America,1991,14997.323091666667,NA,24,-0.42907830455626295
North America,1992,15230.590020833333,NA,24,1.5553904369525862
North America,1993,15542.666466666667,NA,24,2.0490108748673297
